function,module,line,snippet
business_print_default_settings_json,Administration,9327,function business_print_default_settings_json(
business_type_required_modules,Masters / Common,9330,function business_type_required_modules(
business_type_module_codes,Masters / Common,9356,function business_type_module_codes(
business_profile,Masters / Common,9361,function business_profile(
current_business_profile,Masters / Common,9406,function current_business_profile(
current_invoice_template_code,Masters / Common,9414,function current_invoice_template_code(
invoice_template_family,Masters / Common,9445,function invoice_template_family(
active_module_codes,Masters / Common,9454,function active_module_codes(
page_module_code,Masters / Common,9477,function page_module_code(
page_allowed_for_business,Masters / Common,9498,function page_allowed_for_business(
business_menu_label,Masters / Common,9509,function business_menu_label(
activated,Masters / Common,9588,function activated(
next_no,Masters / Common,9606,function next_no(
list_state,Masters / Common,9610,function list_state(
pagination_bar,Masters / Common,9627,function pagination_bar(
action_link,Masters / Common,9650,function action_link(
transaction_row_attrs,Masters / Common,9653,function transaction_row_attrs(
transaction_action_cell,Masters / Common,9657,function transaction_action_cell(
order_doc_edit_route,Sales,9660,function order_doc_edit_route(
order_doc_can_edit,Sales,9669,function order_doc_can_edit(
order_doc_action_cell,Sales,9673,function order_doc_action_cell(
source_document_view_map,Print / Documents,9704,function source_document_view_map(
source_document_view_url,Print / Documents,9715,function source_document_view_url(
source_document_action_cell,Print / Documents,9718,function source_document_action_cell(
source_document_view_page,Print / Documents,9729,function source_document_view_page(
render_money_voucher_print_document,Accounts,9785,function render_money_voucher_print_document(
money_voucher_print_page,Accounts,9818,function money_voucher_print_page(
csrf_token,Masters / Common,9852,function csrf_token(
csrf_field,Masters / Common,9858,function csrf_field(
csrf_meta,Masters / Common,9861,function csrf_meta(
inject_csrf_into_forms,Masters / Common,9864,function inject_csrf_into_forms(
enforce_same_origin_post,Sales,9877,function enforce_same_origin_post(
enforce_csrf_post,Sales,9892,function enforce_csrf_post(
require_state_changing_post,Sales,9903,function require_state_changing_post(
asset_version,Masters / Common,10146,function asset_version(
login_page,Masters / Common,10156,function login_page(
save_company_logo,Administration,10197,function save_company_logo(
activate_page,Masters / Common,10212,function activate_page(
developer_login_page,Administration,10302,function developer_login_page(
license_blocked_page,Administration,10347,function license_blocked_page(
default_menu_groups,Masters / Common,10362,function default_menu_groups(
business_specific_menu_groups,Masters / Common,10386,function business_specific_menu_groups(
business_menu_groups,Masters / Common,10584,function business_menu_groups(
erp_posting_menu_groups,Sales,10588,function erp_posting_menu_groups(
layout,Masters / Common,10658,function layout(
print_dev_footer,Print / Documents,10727,function print_dev_footer(
render_print_header_partial,Print / Documents,10733,function render_print_header_partial(
render_company_document_header,Administration,10764,function render_company_document_header(
dashboard_display_settings,Administration,10792,function dashboard_display_settings(
dashboard_settings_page,Administration,10804,function dashboard_settings_page(
portal_search_routes,Inventory,10839,function portal_search_routes(
portal_search_page,Masters / Common,10860,function portal_search_page(
dashboard,Masters / Common,10918,function dashboard(
client_company_protected_post_fields,Sales,11303,function client_company_protected_post_fields(
company_page,Administration,11312,function company_page(
financial_years_page,Masters / Common,11535,function financial_years_page(
closing_management_page,Masters / Common,11691,function closing_management_page(
dispatch_box_unit_sql,Inventory,11893,function dispatch_box_unit_sql(
dispatch_status_options,Inventory,11897,function dispatch_status_options(
dispatch_normalize_status,Inventory,11910,function dispatch_normalize_status(
dispatch_status_label,Inventory,11918,function dispatch_status_label(
dispatch_sql_status_filter,Inventory,11929,function dispatch_sql_status_filter(
dispatch_source_table,Inventory,11933,function dispatch_source_table(
dispatch_source_label,Inventory,11943,function dispatch_source_label(
dispatch_source_primary_no,Inventory,11952,function dispatch_source_primary_no(
dispatch_customer_sheet_url,Inventory,11960,function dispatch_customer_sheet_url(
dispatch_original_doc_url,Inventory,11967,function dispatch_original_doc_url(
dispatch_loading_sheet_no,Inventory,11978,function dispatch_loading_sheet_no(
distributor_dispatch_reports_enabled,Inventory,11992,function distributor_dispatch_reports_enabled(
dispatch_warehouse_name,Inventory,11996,function dispatch_warehouse_name(
dispatch_enrich_line_row,Inventory,12005,function dispatch_enrich_line_row(
distributor_dispatch_vehicle,Inventory,12022,function distributor_dispatch_vehicle(
distributor_dispatch_driver,Inventory,12026,function distributor_dispatch_driver(
distributor_dispatch_vehicle_missing,Inventory,12031,function distributor_dispatch_vehicle_missing(
distributor_dispatch_completed,Inventory,12036,function distributor_dispatch_completed(
distributor_dispatch_pending,Inventory,12041,function distributor_dispatch_pending(
distributor_dispatch_exception_class,Inventory,12046,function distributor_dispatch_exception_class(
distributor_dispatch_label_list,Inventory,12053,function distributor_dispatch_label_list(
distributor_dispatch_status_summary,Inventory,12062,function distributor_dispatch_status_summary(
distributor_dispatch_total_weight,Inventory,12073,function distributor_dispatch_total_weight(
distributor_dispatch_group_summary,Inventory,12077,function distributor_dispatch_group_summary(
distributor_dispatch_filter_label,Inventory,12124,function distributor_dispatch_filter_label(
distributor_dispatch_date_label,Inventory,12129,function distributor_dispatch_date_label(
distributor_dispatch_header_meta,Inventory,12135,function distributor_dispatch_header_meta(
distributor_dispatch_metric_cards,Inventory,12150,function distributor_dispatch_metric_cards(
distributor_dispatch_signature_grid,Inventory,12158,function distributor_dispatch_signature_grid(
dispatch_xlsx_download,Inventory,12164,function dispatch_xlsx_download(
dispatch_report_rows,Inventory,12183,function dispatch_report_rows(
dispatch_item_summary_rows,Inventory,12314,function dispatch_item_summary_rows(
dispatch_line_rows,Inventory,12401,function dispatch_line_rows(
dispatch_summary_rows,Inventory,12457,function dispatch_summary_rows(
dispatch_group_summary,Inventory,12461,function dispatch_group_summary(
dispatch_totals,Inventory,12477,function dispatch_totals(
dispatch_filter_state,Inventory,12505,function dispatch_filter_state(
dispatch_state_query,Inventory,12550,function dispatch_state_query(
dispatch_sort_rows,Inventory,12558,function dispatch_sort_rows(
dispatch_row_matches,Inventory,12571,function dispatch_row_matches(
dispatch_document_rows_for_state,Inventory,12592,function dispatch_document_rows_for_state(
dispatch_line_rows_for_state,Inventory,12627,function dispatch_line_rows_for_state(
dispatch_item_rows_for_state,Inventory,12640,function dispatch_item_rows_for_state(
dispatch_doc_url,Inventory,12694,function dispatch_doc_url(
dispatch_popup_row_attrs,Inventory,12698,function dispatch_popup_row_attrs(
dispatch_normalize_page,Inventory,12703,function dispatch_normalize_page(
dispatch_page_class,Inventory,12708,function dispatch_page_class(
dispatch_modal_shell,Inventory,12713,function dispatch_modal_shell(
dispatch_filter_form,Inventory,12720,function dispatch_filter_form(
dispatch_default_whatsapp_phone,Inventory,12748,function dispatch_default_whatsapp_phone(
dispatch_action_bar,Inventory,12755,function dispatch_action_bar(
daily_dispatch_summary_page,Inventory,12772,function daily_dispatch_summary_page(
loading_sheet_page,Masters / Common,12857,function loading_sheet_page(
route_loading_sheet_page,Inventory,12915,function route_loading_sheet_page(
pending_dispatch_page,Inventory,12948,function pending_dispatch_page(
dispatch_source_record,Inventory,12974,function dispatch_source_record(
dispatch_source_date,Inventory,12985,function dispatch_source_date(
dispatch_document_row,Inventory,12989,function dispatch_document_row(
dispatch_lines_for_document,Inventory,13003,function dispatch_lines_for_document(
dispatch_return_totals_for_document,Inventory,13015,function dispatch_return_totals_for_document(
dispatch_return_history_for_document,Inventory,13028,function dispatch_return_history_for_document(
dispatch_vehicle_is_editable,Inventory,13035,function dispatch_vehicle_is_editable(
dispatch_update_document_status,Inventory,13039,function dispatch_update_document_status(
create_sales_return_from_dispatch,Sales,13083,function create_sales_return_from_dispatch(
dispatch_customer_sheet_page,Inventory,13151,function dispatch_customer_sheet_page(
dispatch_status_update_page,Inventory,13239,function dispatch_status_update_page(
dispatch_original_open_page,Inventory,13263,function dispatch_original_open_page(
dispatch_return_entry_page,Inventory,13277,function dispatch_return_entry_page(
dispatch_return_summary_page,Inventory,13407,function dispatch_return_summary_page(
dispatch_sheet_page,Inventory,13444,function dispatch_sheet_page(
print_settings_page,Administration,13523,function print_settings_page(
party_page_config,Masters / Common,13599,function party_page_config(
party_page,Masters / Common,13749,function party_page(
normalize_import_header,Masters / Common,13910,function normalize_import_header(
rows_to_assoc_by_header,Masters / Common,13940,function rows_to_assoc_by_header(
xlsx_cell_index,Masters / Common,13955,function xlsx_cell_index(
xlsx_shared_strings,Masters / Common,13963,function xlsx_shared_strings(
xlsx_rows_from_file,Masters / Common,13977,function xlsx_rows_from_file(
html_table_rows_from_file,Masters / Common,14018,function html_table_rows_from_file(
import_assoc_rows_from_upload,Masters / Common,14035,function import_assoc_rows_from_upload(
csv_assoc_rows_from_upload,Masters / Common,14065,function csv_assoc_rows_from_upload(
import_master_rows,Masters / Common,14068,function import_master_rows(
developer_database_import_rows,Administration,14207,function developer_database_import_rows(
master_import_export_page,Masters / Common,14230,function master_import_export_page(
restaurant_categories_page,Restaurant / Pharmacy,14345,function restaurant_categories_page(
restaurant_tables_page,Restaurant / Pharmacy,14432,function restaurant_tables_page(
business_master_page,Masters / Common,14497,function business_master_page(
business_master_options,Masters / Common,14588,function business_master_options(
next_business_record_no,Masters / Common,14598,function next_business_record_no(
business_workflow_fields,Masters / Common,14604,function business_workflow_fields(
business_register_value,Masters / Common,14707,function business_register_value(
business_register_page,Masters / Common,14712,function business_register_page(
business_register_report_page,Masters / Common,14797,function business_register_report_page(
real_estate_units_page,Real Estate,14825,function real_estate_units_page(
batch_tracking_page,Inventory,14880,function batch_tracking_page(
product_pack_rows_for_form,Masters / Common,14898,function product_pack_rows_for_form(
parse_posted_product_pack_rows,Sales,14932,function parse_posted_product_pack_rows(
validate_product_pack_rows,Masters / Common,14975,function validate_product_pack_rows(
save_product_pack_rows,Masters / Common,15024,function save_product_pack_rows(
mirror_default_pack_to_item,Inventory,15067,function mirror_default_pack_to_item(
sync_default_pack_from_item,Inventory,15090,function sync_default_pack_from_item(
render_product_pack_grid,Masters / Common,15115,function render_product_pack_grid(
items_page,Inventory,15160,function items_page(
unit_options,Masters / Common,15349,function unit_options(
unit_select,Masters / Common,15362,function unit_select(
transaction_grid_import_controls,Masters / Common,15366,function transaction_grid_import_controls(
render_transaction_cart_gate,Masters / Common,15391,function render_transaction_cart_gate(
tax_slab_options,Masters / Common,15398,function tax_slab_options(
tax_slabs_page,Masters / Common,15415,function tax_slabs_page(
schemes_page,Masters / Common,15471,function schemes_page(
units_page,Masters / Common,15560,function units_page(
item_options,Inventory,15627,function item_options(
item_filter_options,Inventory,15710,function item_filter_options(
next_barcode,Masters / Common,15720,function next_barcode(
code39_svg,Masters / Common,15725,function code39_svg(
barcode_labels_page,Masters / Common,15755,function barcode_labels_page(
bill_rows,Masters / Common,15793,function bill_rows(
order_doc_meta,Sales,15879,function order_doc_meta(
order_doc_all_warehouses_allowed,Sales,15889,function order_doc_all_warehouses_allowed(
order_doc_new,Sales,15893,function order_doc_new(
save_order_doc,Sales,15930,function save_order_doc(
order_doc_edit,Sales,16009,function order_doc_edit(
save_order_doc_update,Sales,16061,function save_order_doc_update(
purchase_plan_order,Sales,16157,function purchase_plan_order(
order_docs_page,Sales,16259,function order_docs_page(
order_doc_print,Sales,16286,function order_doc_print(
order_doc_status,Sales,16377,function order_doc_status(
order_doc_convert_sale,Sales,16389,function order_doc_convert_sale(
order_doc_convert_purchase,Sales,16480,function order_doc_convert_purchase(
sale_new,Sales,16634,function sale_new(
save_sale,Sales,16721,function save_sale(
sales_page,Sales,16803,function sales_page(
invoice_template_meta,Masters / Common,16823,function invoice_template_meta(
print_document_types,Print / Documents,16828,function print_document_types(
print_paper_types,Print / Documents,16846,function print_paper_types(
template_settings,Administration,16852,function template_settings(
current_template_settings,Administration,16869,function current_template_settings(
render_company_header_extras,Administration,16872,function render_company_header_extras(
save_template_reference_upload,Masters / Common,16880,function save_template_reference_upload(
print_size_class_from_settings,Administration,16894,function print_size_class_from_settings(
invoice_print_document_settings,Administration,16904,function invoice_print_document_settings(
company_logo_src,Administration,16911,function company_logo_src(
company_initials,Administration,16914,function company_initials(
print_single_line,Print / Documents,16924,function print_single_line(
render_invoice_party_box,Masters / Common,16927,function render_invoice_party_box(
document_owner_print_lines,Print / Documents,16933,function document_owner_print_lines(
document_owner_short,Print / Documents,16955,function document_owner_short(
invoice_hsn_list,Masters / Common,16965,function invoice_hsn_list(
invoice_tax_summary,Masters / Common,16969,function invoice_tax_summary(
invoice_tax_visible_columns,Masters / Common,16984,function invoice_tax_visible_columns(
invoice_tax_percentages,Masters / Common,16987,function invoice_tax_percentages(
render_invoice_tax_summary_table,Masters / Common,16995,function render_invoice_tax_summary_table(
invoice_taxable_total_check,Masters / Common,17065,function invoice_taxable_total_check(
render_distributor_taxable_total_before_totals,Masters / Common,17085,function render_distributor_taxable_total_before_totals(
render_item_entry_summary_container,Inventory,17100,function render_item_entry_summary_container(
invoice_print_column_labels,Print / Documents,17172,function invoice_print_column_labels(
business_invoice_standard_columns,Masters / Common,17205,function business_invoice_standard_columns(
business_invoice_disallowed_columns,Masters / Common,17209,function business_invoice_disallowed_columns(
invoice_print_columns,Print / Documents,17216,function invoice_print_columns(
invoice_print_column_value,Print / Documents,17241,function invoice_print_column_value(
render_invoice_items_table,Inventory,17274,function render_invoice_items_table(
invoice_smart_size_class,Masters / Common,17310,function invoice_smart_size_class(
render_amount_words_row,Masters / Common,17321,function render_amount_words_row(
invoice_bill_to_title,Masters / Common,17324,function invoice_bill_to_title(
invoice_address_compare_key,Masters / Common,17329,function invoice_address_compare_key(
invoice_ship_to_line,Masters / Common,17332,function invoice_ship_to_line(
invoice_ship_to_address,Masters / Common,17339,function invoice_ship_to_address(
document_round_off_value,Print / Documents,17345,function document_round_off_value(
invoice_print_doc_status,Print / Documents,17351,function invoice_print_doc_status(
invoice_print_employee_name,Print / Documents,17358,function invoice_print_employee_name(
distributor_print_refinement_document_types,Print / Documents,17365,function distributor_print_refinement_document_types(
invoice_print_family_for_document,Print / Documents,17368,function invoice_print_family_for_document(
render_erp_invoice_document,Print / Documents,17378,function render_erp_invoice_document(
render_sales_invoice_template,Sales,17502,function render_sales_invoice_template(
sale_print,Sales,17616,function sale_print(
sale_cancel,Sales,17741,function sale_cancel(
sale_return_page,Sales,17778,function sale_return_page(
save_sales_return,Sales,17834,function save_sales_return(
sales_returns_page,Sales,17898,function sales_returns_page(
sale_return_print,Sales,17918,function sale_return_print(
sale_return_cancel,Sales,17991,function sale_return_cancel(
purchase_new,Purchase,18025,function purchase_new(
stock_out_rows,Inventory,18077,function stock_out_rows(
stock_out_new,Inventory,18127,function stock_out_new(
save_stock_out,Inventory,18166,function save_stock_out(
stock_outs_page,Inventory,18266,function stock_outs_page(
stock_out_print,Inventory,18290,function stock_out_print(
stock_out_cancel,Inventory,18395,function stock_out_cancel(
route_settlement_data,Inventory,18433,function route_settlement_data(
route_settlement_page,Inventory,18465,function route_settlement_page(
render_route_settlement_print_document,Inventory,18538,function render_route_settlement_print_document(
route_settlement_print,Inventory,18564,function route_settlement_print(
save_purchase,Purchase,18592,function save_purchase(
purchases_page,Purchase,18670,function purchases_page(
print_bills_resolve_doc_type,Print / Documents,18690,function print_bills_resolve_doc_type(
print_bills_filter_state,Print / Documents,18704,function print_bills_filter_state(
print_bills_filter_parts,Print / Documents,18738,function print_bills_filter_parts(
print_bills_order_by,Sales,18770,function print_bills_order_by(
print_bills_select_sql,Print / Documents,18783,function print_bills_select_sql(
print_bills_table,Print / Documents,18790,function print_bills_table(
print_bills_stats,Print / Documents,18794,function print_bills_stats(
print_bills_party_options,Print / Documents,18801,function print_bills_party_options(
print_bills_pay_modes,Print / Documents,18808,function print_bills_pay_modes(
print_bills_area_options,Print / Documents,18813,function print_bills_area_options(
create_print_batch,Inventory,18817,function create_print_batch(
print_bills_page,Print / Documents,18825,function print_bills_page(
print_bills_bulk_page,Print / Documents,18929,function print_bills_bulk_page(
purchase_print,Purchase,19088,function purchase_print(
purchase_cancel,Purchase,19197,function purchase_cancel(
purchase_return_page,Purchase,19236,function purchase_return_page(
save_purchase_return,Purchase,19292,function save_purchase_return(
purchase_returns_page,Purchase,19358,function purchase_returns_page(
purchase_return_print,Purchase,19378,function purchase_return_print(
purchase_return_cancel,Purchase,19450,function purchase_return_cancel(
stock_page,Inventory,19482,function stock_page(
stock_alerts_page,Inventory,19545,function stock_alerts_page(
expiry_action_rows,Masters / Common,19682,function expiry_action_rows(
stock_expiry_page,Inventory,19709,function stock_expiry_page(
stock_log_page,Inventory,19785,function stock_log_page(
negative_stock_rows,Inventory,19812,function negative_stock_rows(
negative_stock_report_page,Inventory,19856,function negative_stock_report_page(
stock_adjust_page,Inventory,19876,function stock_adjust_page(
warehouses_page,Inventory,19953,function warehouses_page(
transfer_rows,Masters / Common,19986,function transfer_rows(
stock_transfer_new,Inventory,20004,function stock_transfer_new(
save_stock_transfer,Inventory,20023,function save_stock_transfer(
stock_transfers_page,Inventory,20086,function stock_transfers_page(
stock_transfer_cancel,Inventory,20107,function stock_transfer_cancel(
production_bom_options,Manufacturing,20149,function production_bom_options(
production_bom_rows,Manufacturing,20158,function production_bom_rows(
manufacturing_boms_page,Manufacturing,20177,function manufacturing_boms_page(
post_production_run,Sales,20248,function post_production_run(
save_production_run,Manufacturing,20294,function save_production_run(
manufacturing_production_orders_page,Sales,20351,function manufacturing_production_orders_page(
manufacturing_production_cancel,Manufacturing,20400,function manufacturing_production_cancel(
receipt_page,Accounts,20430,function receipt_page(
receipt_cancel,Accounts,20494,function receipt_cancel(
payment_page,Accounts,20517,function payment_page(
payment_cancel,Accounts,20581,function payment_cancel(
expense_page,Accounts,20604,function expense_page(
expense_cancel,Accounts,20676,function expense_cancel(
money_modes,Masters / Common,20697,function money_modes(
ledger_options,Accounts,20700,function ledger_options(
erp_posting_ledger_options,Sales,20715,function erp_posting_ledger_options(
erp_voucher_type_options,Accounts,20735,function erp_voucher_type_options(
erp_voucher_source_url,Accounts,20745,function erp_voucher_source_url(
erp_voucher_source_action,Accounts,20786,function erp_voucher_source_action(
erp_voucher_source_snapshot,Accounts,20792,function erp_voucher_source_snapshot(
erp_voucher_approval_statuses,Accounts,21014,function erp_voucher_approval_statuses(
erp_voucher_approval_options,Accounts,21023,function erp_voucher_approval_options(
erp_voucher_output_policy_options,Accounts,21031,function erp_voucher_output_policy_options(
erp_voucher_output_policy,Accounts,21038,function erp_voucher_output_policy(
erp_voucher_output_policy_select,Accounts,21044,function erp_voucher_output_policy_select(
erp_voucher_output_blocked,Accounts,21052,function erp_voucher_output_blocked(
voucher_maker_checker_required,Accounts,21057,function voucher_maker_checker_required(
default_voucher_approval_rules,Accounts,21061,function default_voucher_approval_rules(
seed_voucher_approval_rules,Accounts,21076,function seed_voucher_approval_rules(
voucher_approval_rules,Accounts,21084,function voucher_approval_rules(
voucher_approval_rule_for_role,Accounts,21112,function voucher_approval_rule_for_role(
voucher_approval_limit_label,Accounts,21128,function voucher_approval_limit_label(
voucher_approval_required_rule,Accounts,21134,function voucher_approval_required_rule(
voucher_approval_requirement_label,Accounts,21149,function voucher_approval_requirement_label(
voucher_approval_escalation_text,Accounts,21161,function voucher_approval_escalation_text(
voucher_approval_actor_denial_reason,Accounts,21170,function voucher_approval_actor_denial_reason(
voucher_approval_actor_can_approve,Accounts,21198,function voucher_approval_actor_can_approve(
erp_voucher_document_data,Accounts,21202,function erp_voucher_document_data(
erp_voucher_detail_page,Accounts,21225,function erp_voucher_detail_page(
erp_voucher_print_page,Accounts,21347,function erp_voucher_print_page(
voucher_approval_page,Accounts,21459,function voucher_approval_page(
erp_unposted_source_definitions,Sales,21656,function erp_unposted_source_definitions(
erp_unposted_source_where,Sales,21669,function erp_unposted_source_where(
erp_unposted_source_counts,Sales,21681,function erp_unposted_source_counts(
erp_repair_unposted_source_vouchers,Sales,21691,function erp_repair_unposted_source_vouchers(
erp_control_check_page,Masters / Common,21724,function erp_control_check_page(
erp_voucher_register_page,Accounts,21834,function erp_voucher_register_page(
erp_ledger_report_page,Accounts,21894,function erp_ledger_report_page(
erp_day_book_page,Masters / Common,21949,function erp_day_book_page(
erp_gst_postings_page,Sales,21992,function erp_gst_postings_page(
erp_stock_postings_page,Sales,22042,function erp_stock_postings_page(
inventory_valuation_methods,Masters / Common,22084,function inventory_valuation_methods(
inventory_valuation_method_options,Masters / Common,22088,function inventory_valuation_method_options(
inventory_valuation_rows,Masters / Common,22096,function inventory_valuation_rows(
inventory_valuation_page,Masters / Common,22211,function inventory_valuation_page(
ledger_group_options,Accounts,22251,function ledger_group_options(
ledger_group_section_options,Accounts,22265,function ledger_group_section_options(
ledger_group_nature_options,Accounts,22273,function ledger_group_nature_options(
ledger_group_parent_options,Accounts,22281,function ledger_group_parent_options(
ledger_groups_page,Accounts,22290,function ledger_groups_page(
account_ledgers_page,Accounts,22361,function account_ledgers_page(
branches_page,Masters / Common,22428,function branches_page(
cost_centers_page,Masters / Common,22561,function cost_centers_page(
journal_page,Accounts,22656,function journal_page(
journal_cancel,Accounts,22781,function journal_cancel(
cash_bank_book_selected_ledgers,Accounts,22801,function cash_bank_book_selected_ledgers(
cash_bank_book_opening,Accounts,22807,function cash_bank_book_opening(
cash_bank_book_rows,Accounts,22814,function cash_bank_book_rows(
cash_bank_book_page,Accounts,22853,function cash_bank_book_page(
cash_bank_book_with_balance,Accounts,22892,function cash_bank_book_with_balance(
bank_reconciliation_ledgers,Accounts,22903,function bank_reconciliation_ledgers(
bank_reconciliation_statuses,Accounts,22912,function bank_reconciliation_statuses(
bank_reconciliation_status_options,Accounts,22916,function bank_reconciliation_status_options(
bank_reconciliation_ledger_options,Accounts,22924,function bank_reconciliation_ledger_options(
bank_reconciliation_rows,Accounts,22932,function bank_reconciliation_rows(
bank_reconciliation_page,Accounts,22951,function bank_reconciliation_page(
cash_flow_ledgers,Accounts,23055,function cash_flow_ledgers(
cash_flow_category_for_counter,Accounts,23064,function cash_flow_category_for_counter(
cash_flow_statement_data,Accounts,23075,function cash_flow_statement_data(
cash_flow_statement_page,Accounts,23127,function cash_flow_statement_page(
fund_flow_amount_from_trial_row,Masters / Common,23189,function fund_flow_amount_from_trial_row(
fund_flow_is_cash_bank_ledger,Accounts,23200,function fund_flow_is_cash_bank_ledger(
fund_flow_statement_data,Masters / Common,23204,function fund_flow_statement_data(
fund_flow_statement_page,Masters / Common,23304,function fund_flow_statement_page(
add_trial_amount,Masters / Common,23353,function add_trial_amount(
erp_ledger_group_map,Accounts,23360,function erp_ledger_group_map(
erp_ledger_group_master_map,Accounts,23370,function erp_ledger_group_master_map(
erp_ledger_group_report_section,Accounts,23383,function erp_ledger_group_report_section(
erp_ledger_group_name,Accounts,23391,function erp_ledger_group_name(
erp_statement_section,Masters / Common,23409,function erp_statement_section(
erp_posting_statement_rows,Sales,23425,function erp_posting_statement_rows(
erp_trial_balance_rows,Masters / Common,23448,function erp_trial_balance_rows(
erp_period_statement_rows,Masters / Common,23452,function erp_period_statement_rows(
erp_profit_loss_summary,Masters / Common,23456,function erp_profit_loss_summary(
erp_stock_register_value,Inventory,23483,function erp_stock_register_value(
erp_stock_ledger_value,Inventory,23487,function erp_stock_ledger_value(
post_stock_ledger_adjustment,Sales,23491,function post_stock_ledger_adjustment(
erp_balance_sheet_snapshot,Masters / Common,23549,function erp_balance_sheet_snapshot(
trial_balance_page,Masters / Common,23590,function trial_balance_page(
day_book_entries,Masters / Common,23620,function day_book_entries(
day_book_page,Masters / Common,23678,function day_book_page(
posted_ledger_status_sql,Sales,23711,function posted_ledger_status_sql(
party_table_for_kind,Masters / Common,23716,function party_table_for_kind(
party_ledger_name_from_party,Accounts,23720,function party_ledger_name_from_party(
party_ledger_net,Accounts,23724,function party_ledger_net(
party_balance_text,Masters / Common,23735,function party_balance_text(
party_outstanding_amount,Masters / Common,23740,function party_outstanding_amount(
party_outstanding_nature,Masters / Common,23744,function party_outstanding_nature(
party_outstanding_rows,Masters / Common,23749,function party_outstanding_rows(
party_ledger_page,Accounts,23773,function party_ledger_page(
outstanding_page,Masters / Common,23851,function outstanding_page(
aging_add_bucket,Masters / Common,23880,function aging_add_bucket(
party_aging_rows,Masters / Common,23889,function party_aging_rows(
outstanding_aging_page,Masters / Common,23928,function outstanding_aging_page(
audit_page,Masters / Common,23968,function audit_page(
sale_options_for_compliance,Sales,23991,function sale_options_for_compliance(
sale_api_payload,Sales,24000,function sale_api_payload(
einvoice_options_for_api,GST / Compliance,24005,function einvoice_options_for_api(
eway_options_for_api,GST / Compliance,24014,function eway_options_for_api(
gst_api_prefix,GST / Compliance,24023,function gst_api_prefix(
gst_api_title,GST / Compliance,24026,function gst_api_title(
gst_api_default_path,GST / Compliance,24029,function gst_api_default_path(
gst_api_settings,GST / Compliance,24046,function gst_api_settings(
gst_api_join_url,GST / Compliance,24076,function gst_api_join_url(
gst_api_action_code,GST / Compliance,24081,function gst_api_action_code(
gst_api_endpoint_path,GST / Compliance,24091,function gst_api_endpoint_path(
gst_api_mask_payload,GST / Compliance,24099,function gst_api_mask_payload(
gst_api_log,GST / Compliance,24114,function gst_api_log(
gst_api_headers,GST / Compliance,24133,function gst_api_headers(
gst_api_http_post,Sales,24144,function gst_api_http_post(
gst_api_public_encrypt,GST / Compliance,24167,function gst_api_public_encrypt(
gst_api_key_bytes,GST / Compliance,24175,function gst_api_key_bytes(
gst_api_aes_encrypt_payload,GST / Compliance,24181,function gst_api_aes_encrypt_payload(
gst_api_aes_decrypt_text,GST / Compliance,24189,function gst_api_aes_decrypt_text(
gst_api_aes_decrypt_payload,GST / Compliance,24195,function gst_api_aes_decrypt_payload(
gst_api_decode_body,GST / Compliance,24203,function gst_api_decode_body(
gst_api_find_value,GST / Compliance,24212,function gst_api_find_value(
gst_api_response_data,GST / Compliance,24226,function gst_api_response_data(
gst_api_success,GST / Compliance,24233,function gst_api_success(
gst_api_message,GST / Compliance,24241,function gst_api_message(
gst_api_build_request,GST / Compliance,24247,function gst_api_build_request(
gst_api_call,GST / Compliance,24256,function gst_api_call(
gst_api_authenticate,GST / Compliance,24273,function gst_api_authenticate(
gst_api_save_secret,GST / Compliance,24307,function gst_api_save_secret(
gst_api_save_settings,GST / Compliance,24311,function gst_api_save_settings(
handle_gst_api_settings_post,Sales,24330,function handle_gst_api_settings_post(
gst_api_unit_code,GST / Compliance,24347,function gst_api_unit_code(
gst_api_pin,GST / Compliance,24360,function gst_api_pin(
gst_api_addr,GST / Compliance,24366,function gst_api_addr(
gst_api_date_mysql,GST / Compliance,24370,function gst_api_date_mysql(
gst_api_sale_context,Sales,24376,function gst_api_sale_context(
gst_api_validate_sale,Sales,24384,function gst_api_validate_sale(
einvoice_irn_payload,GST / Compliance,24395,function einvoice_irn_payload(
eway_bill_payload,GST / Compliance,24483,function eway_bill_payload(
einvoice_cancel_payload,GST / Compliance,24558,function einvoice_cancel_payload(
eway_cancel_payload,GST / Compliance,24566,function eway_cancel_payload(
eway_vehicle_update_payload,GST / Compliance,24574,function eway_vehicle_update_payload(
gst_api_settings_card,GST / Compliance,24593,function gst_api_settings_card(
gst_api_logs_card,GST / Compliance,24631,function gst_api_logs_card(
einvoices_page,GST / Compliance,24656,function einvoices_page(
eway_bills_page,GST / Compliance,24778,function eway_bills_page(
csv_download,Masters / Common,24930,function csv_download(
xls_download,Masters / Common,24949,function xls_download(
gst_summary_zero,GST / Compliance,24972,function gst_summary_zero(
gst_summary_add,GST / Compliance,24975,function gst_summary_add(
gst_posting_split_totals,Sales,24982,function gst_posting_split_totals(
gst_posting_hsn_summary,Sales,25001,function gst_posting_hsn_summary(
gst_hsn_b2b_b2c_summary,GST / Compliance,25014,function gst_hsn_b2b_b2c_summary(
gst_posting_tax_rate_summary,Sales,25037,function gst_posting_tax_rate_summary(
gst_posting_source_mismatches,Sales,25049,function gst_posting_source_mismatches(
gst_return_whatsapp_message,GST / Compliance,25081,function gst_return_whatsapp_message(
gst_adjustment_page,GST / Compliance,25125,function gst_adjustment_page(
tally_report_company_name,Administration,25253,function tally_report_company_name(
